"study","pathway","NES","pvalue","p.adjust","leading_edge_genes"
"GSE79362","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.76775321604853,1e-10,6.25e-10,"GBP6/CD274/FCGR1A/BATF2/SECTM1/TAP1/APOL6/SERPING1/STAT1/IL15RA/GBP4/P2RY14/TAPBP/IRF1/EPSTI1/FAS/LAP3/UBE2L6/ICAM1/LGALS3BP/WARS1/JAK2/SOCS3/PARP14/VAMP5/CASP1/TRAFD1/LCP2/TRIM21/PLSCR1/FGL2/CASP7/SELP/RTP4/RIPK2/ST8SIA4/IL15/SOCS1/TRIM25/STAT2/PML/PSMB9/CSF2RB/SAMD9L/IFIH1/SAMHD1/CASP4/SP110/IFNAR2/SOD2/TNFSF10/IFITM3/PIM1/PDE4B/PSMB8/MYD88/DDX60/IRF2/MTHFD2/ADAR/PLA2G4A/LATS2/IFI35/TNFAIP6/CXCL10/SPPL2A/IFIT3/EIF4E3/CDKN1A/PSME2/IRF7/LY6E/PSME1/GCH1/HLA-B/ZNFX1/LYSMD2/STAT3/XAF1/NMI/RBCK1/HLA-A/EIF2AK2/TDRD7/IFIT2/PSMB10/PTPN1/UPP1/IFI44/HIF1A/CMPK2/NAMPT/OGFR/BPGM/RNF213/FPR1/OAS3/MARCHF1/CD86/TNFAIP2/MVP/NFKBIA/IFI44L/NLRC5/TOR1B/HELZ2/IFI30/ZBP1/IFI27/BST2/RSAD2/NFKB1/IRF9/OAS2/IL4R"
"GSE79362","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.65166419324947,1e-10,6.25e-10,"BATF2/GBP2/TAP1/GBP4/IRF1/EPSTI1/LAP3/UBE2L6/LGALS3BP/WARS1/PARP9/PARP14/CASP1/TRAFD1/TRIM21/CCRL2/PLSCR1/RTP4/RIPK2/IL15/TRIM25/STAT2/TMEM140/PSMB9/SAMD9L/IFIH1/SP110/IFITM3/PSMB8/TRIM5/DDX60/IRF2/ADAR/IFI35/CXCL10/IFIT3/IFITM1/PSME2/IRF7/LY6E/SELL/PSME1/NUB1/NMI/EIF2AK2/MOV10/HLA-C/TDRD7/IFIT2/IFI44/SAMD9/CMPK2/OAS1/CSF1/OGFR/TENT5A/IFI44L/GMPR/HELZ2/IFI30/IFI27/BST2/RSAD2/IRF9/IL4R/ELF1/CD74/OASL/CNP/MX1/RNF31/IFITM2"
"GSE79362","HALLMARK_INFLAMMATORY_RESPONSE",2.61114930597197,1e-10,6.25e-10,"SCARF1/IL15RA/FZD5/CYBB/TAPBP/IRF1/ICAM1/KCNJ2/LCP2/NOD2/MSR1/IFNAR1/CCRL2/RTP4/RIPK2/GNA15/IL15/TLR1/SCN1B/MARCO/TNFSF10/PDE4B/NLRP3/TNFAIP6/CD14/CXCL10/PLAUR/IL1B/ADM/CDKN1A/IFITM1/CLEC5A/FFAR2/SPHK1/IRF7/LY6E/ABI1/SELL/GCH1/ITGB3/LYN/TLR2/NMI/IL18R1/EIF2AK2/AQP9/IRAK2/OSM/IFNGR2/P2RX7/MMP14/TNFRSF1B/HIF1A/PSEN1/NAMPT/PTPRE/CSF1/FPR1/AHR/KIF1B/ABCA1/NFKBIA/PTGER4/MXD1/MEFV/RNF144B/P2RX4/GNAI3/RHOG/SEMA4D/BST2/NFKB1/IL4R/PROK2/PTAFR/CD55/IL18RAP/C3AR1/ADGRE1/CD82/LPAR1/ACVR1B/PTGIR/TNFRSF9/CSF3R"
"GSE79362","HALLMARK_IL6_JAK_STAT3_SIGNALING",2.44776691778558,1e-10,6.25e-10,"STAT1/IL15RA/IRF1/FAS/CD44/SOCS3/LTBR/CD36/IFNAR1/CCR1/SOCS1/STAT2/CSF2RB/ACVRL1/PIM1/MYD88/IL13RA1/CD14/CXCL10/IL17RA/IL1B/TGFB1/IL10RB/TNFRSF1A/ITGB3/STAT3/LEPR/TLR2/PDGFC/IL18R1/IFNGR2/STAM2/TNFRSF1B/PTPN1/GRB2/IL12RB1/CSF1"
"GSE79362","HALLMARK_COMPLEMENT",2.3732504619754,1e-10,6.25e-10,"SERPING1/C2/IRF1/LAP3/CASP5/JAK2/CASP1/CD36/LCP2/VCPIP1/CLU/PLSCR1/CASP7/ADAM9/GNB4/CTSS/PSMB9/CD59/CASP4/CTSB/ANXA5/PRCP/PIM1/CA2/IRF2/C1QC/PLA2G4A/TIMP2/PLAUR/CD46/IRF7/DOCK4/FCN1/USP8/CASP10/PRKCD/CTSC/LYN/CR1/KYNU/FN1/PLEK/MMP8/MMP14/ITGAM/GRB2/MSRB1/SRC/PSEN1/LAMP2/S100A9/CTSD/EHD1/C1QA/F5/SERPINA1/PIK3CG/ERAP2/CTSH/CTSL/USP15/GCA/DUSP6/GNAI3/CALM3/RHOG/CASP9/PDP1/CD55/LTA4H/PPP4C/C1R/PPP2CB/WAS/CEBPB/CPQ/FCER1G/GNAI2/GPD2"
"GSE79362","HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.25501959840223,1e-10,6.25e-10,"TAP1/IL15RA/IRF1/ICAM1/CD44/SOCS3/CCRL2/RIPK2/STAT5A/FUT4/DRAM1/IFIH1/PFKFB3/SOD2/F2RL1/PDE4B/ZFP36/ATF3/GADD45B/NFE2L2/TNFAIP6/CXCL10/PLAUR/IL1B/CDKN1A/RELB/JAG1/SPHK1/TANK/RNF19B/BCL6/B4GALT5/PDLIM5/GCH1/TRIB1/TNIP1/BCL3/TLR2/KYNU/KLF4/IFNGR2/PLEK/IFIT2/NFKBIE/KLF10/JUNB/NAMPT/SPSB1/PTPRE/TSC22D1/CSF1/EHD1/NFIL3/ETS2/FOSL2/CFLAR/ABCA1/TNFAIP2/MARCKS/NFKBIA/DENND5A/PTGER4/MXD1/SAT1/SQSTM1/SLC2A3/MAP3K8/PNRC1/EGR2/NFKB1/SNN/MAP2K3/LITAF/EGR1/MCL1/CEBPB/TNFRSF9/PANX1/VEGFA"
"GSE79362","HALLMARK_HEME_METABOLISM",2.15990336769559,1e-10,6.25e-10,"RAP1GAP/BACH1/CTSB/RIOK3/CA2/BNIP3L/MARK3/HTATIP2/LMO2/NFE2/HEBP1/CIR1/ERMAP/SLC66A2/SLC25A37/DCAF11/MPP1/SPTB/SMOX/MBOAT2/MXI1/LRP10/ALAS2/SLC22A4/XK/BMP2K/GDE1/OSBP2/TOP1/TRIM58/CAST/LAMP2/BPGM/ADIPOR1/PICALM/TAL1/SDCBP/DCAF10/GLRX5/HDGF/TRIM10/USP15/EPOR/RBM38/SLC30A1/SLC6A8/AHSP/MARCHF8/PPP2R5B/EIF2AK1/SLC6A9/SLC4A1/MARCHF2/MAP2K3/TNS1/NARF/TRAK2/ANK1/TMCC2/DMTN/BLVRA/FOXO3/GYPC/NR3C1/ATP6V0A1/SELENBP1/GAPVD1/SLC7A11/KEL/VEZF1/ENDOD1/UBAC1/BSG/XPO7/CAT/H1-0/CTNS/NCOA4/NEK7/YPEL5/KLF1/E2F2/MINPP1/SYNJ1/SNCA/MKRN1/EPB42/ACP5/CA1/ELL2/LPIN2/BLVRB/KDM7A/UCP2/DCUN1D1/FECH/HAGH/RNF123/ARHGEF12/GATA1/OPTN/GCLM/KLF3"
"GSE79362","HALLMARK_ALLOGRAFT_REJECTION",2.12098556689088,1e-10,6.25e-10,"GBP2/TAP1/STAT1/C2/TAP2/TAPBP/CCR2/FAS/ICAM1/WARS1/JAK2/FYB1/LCP2/HLA-E/CCR1/RIPK2/ST8SIA4/IL15/SOCS1/DEGS1/CTSS/TLR1/IFNAR2/BCL10/ITGB2/NLRP3/IGSF6/IL1B/TGFB1/IRF7/ELF4/ABI1/LYN/SRGN/BCL3/TLR2/HLA-A/IFNGR2/UBE2D1/CD1D/PSMB10/GPR65/GCNT1/HIF1A/IL12RB1"
"GSE79362","HALLMARK_APOPTOSIS",2.14791773671012,1.24903080818102e-10,6.9390600454501e-10,"TAP1/IRF1/FAS/CD44/CASP1/DPYD/CLU/CASP7/GNA15/CASP4/GSR/RNASEL/SOD2/TNFSF10/IFITM3/BCL10/ATF3/GADD45B/BNIP3L/TIMP2/CD14/IL1B/CDKN1A/GCH1/HGF/DAP/XIAP/PSEN1/ETF1/PPT1/CFLAR/PEA15/PTK2/SAT1/SQSTM1/PAK1/DNAJA1/GSN/APP/PPP3R1/DNAJC3/BCL2L1/PPP2R5B/CASP9/SLC20A1/BMF/RARA/MCL1/CYLD/NEDD9"
"GSE79362","HALLMARK_MYC_TARGETS_V2",-2.06667463569309,4.63479578004234e-06,2.31739789002117e-05,"PPRC1/EXOSC5/GNL3/MPHOSPH10/HSPE1/DCTPP1/NOLC1/IMP4/DDX18/MCM5/NDUFAF4/PPAN/SLC29A2/SUPV3L1/TCOF1/MYBBP1A/UTP20/UNG/RRP9/NOP2/DUSP2/WDR74/PUS1/LAS1L/TBRG4/NOP56"
"GSE79362","HALLMARK_XENOBIOTIC_METABOLISM",1.822317990657,7.6352801302084e-06,3.47058187736745e-05,"RAP1GAP/FAS/SLC6A12/CD36/PGRMC1/ACP2/GSR/PROS1/IDH1/CA2/TNFRSF1A/PDLIM5/GCH1/ARG2/SMOX/ELOVL5/TMBIM6/KYNU/AQP9/GSTO1/PSMB10/UPP1/ALAS1/CNDP2/MAN1A1/ETS2/ABCC3/PGD/ALDH2/PINK1/SLC1A5/ETFDH/SPINT2/KARS1/CBR1/SLC22A1/DDAH2/PDK4"
