"gene","logFC","logCPM","t","PValue","FDR","B","sig"
"WASH7P",0.0642097310140485,2.77818477861318,1.1693340312059,0.243059354490086,0.440435504378627,-5.48650847034367,FALSE
"CICP27",0.322047113057735,0.112998557277271,2.00145946085017,0.0461091571508909,0.158793247255129,-3.92375042204054,FALSE
"AL627309.6",0.240414736557446,5.30541532096608,1.57229769717008,0.116778853374154,0.281572082378257,-5.26709332795937,FALSE
"AL627309.7",0.166322330929906,4.48136865947642,1.09318205354619,0.275060558372629,0.474893620861561,-5.83628846881131,FALSE
"AL627309.2",0.227839006246442,-0.112048633183204,1.45295234512364,0.147126802090066,0.324186114223247,-4.72652895186209,FALSE
"AL627309.5",0.0415506784078821,0.0243434321805136,0.305049664078148,0.760508407320537,0.861043545871914,-5.62017112175914,FALSE
"WASH9P",-0.13276485875262,3.39674413973199,-2.38958332904298,0.0173925555815936,0.0878114539961213,-3.50521563103117,FALSE
"AP006222.1",0.158038010610642,0.290068686122626,1.62920594963175,0.104162930880196,0.262428446312835,-4.52843776630954,FALSE
"AL732372.2",0.0299570604907718,1.64038646606208,0.227833780973275,0.81990759012078,0.89635938416757,-5.90414543764415,FALSE
"MTND1P23",0.852559872409613,5.616260245672,2.49297382501262,0.0131261216622181,0.0737370017366883,-3.45517679820854,FALSE
"MTND2P28",0.0129992178311671,5.69354849275454,0.0997825368514023,0.920573709259395,0.958579114939027,-6.47026222709678,FALSE
"MTCO1P12",0.446428780814274,8.14950940058007,2.21002478393852,0.02774562591585,0.116109412800025,-3.94057172876369,FALSE
"MTCO2P12",-0.0274663806999914,3.76477724953157,-0.263473439544928,0.792339675862611,0.880246369605549,-6.26779736565921,FALSE
"MTATP8P1",0.100827434575054,1.50829048884948,0.2364194526295,0.813244553652522,0.891843109811705,-5.8695180814223,FALSE
"MTATP6P1",0.123037312758397,8.09669734855292,1.11110745634108,0.267279569612276,0.466113270297191,-5.70965007322441,FALSE
"MTCO3P12",0.395360325173282,4.65723905304567,1.7407773653863,0.0825953720540731,0.227608514113943,-4.96080000010203,FALSE
"AL669831.1",-0.0240017917457506,3.76444417345265,-0.247316153898972,0.804807576260113,0.887233763400557,-6.27822927504877,FALSE
"LINC01409",-0.11497257347623,1.25606244343267,-1.70323681277366,0.0894053915865471,0.239151116127854,-4.52308966621159,FALSE
"LINC01128",-0.0938210912236361,3.81981098990929,-2.14566485818434,0.0325824282705186,0.128547472289303,-4.09007519028193,FALSE
"LINC00115",-0.185313258929862,0.665866797838423,-2.7994112249382,0.00540146279783991,0.0420015108587316,-2.25333019309303,FALSE
"NOC2L",-0.043455222845794,5.36353886560405,-1.12290077813403,0.262244034946177,0.460927489810763,-5.85210658218495,FALSE
"KLHL17",-0.167523523732165,4.04870611965303,-3.48090201501838,0.00056248753585616,0.010270557759177,-0.551770564333858,FALSE
"PLEKHN1",0.0907827532853554,0.192355330972713,0.900737967458128,0.368342773966762,0.567828906138351,-5.32550867907505,FALSE
"HES4",-0.151756765252559,0.879547715802725,-0.913001204732011,0.36186607154044,0.562506367544788,-5.40408141911198,FALSE
"ISG15",0.495981234542486,5.99629622214877,2.41659864923734,0.0161737182971245,0.0841206115013812,-3.62784348983413,FALSE
"AGRN",0.135888428874838,3.13290485622348,1.11304747050664,0.266446662099671,0.465543481906074,-5.61432683074483,FALSE
"AL390719.1",-0.338730901848448,1.41675680594552,-4.47917397083618,1.01384351427803e-05,0.000878752847061401,3.12444769812527,FALSE
"C1orf159",-0.142846093978835,3.8768674478839,-2.76727054212835,0.00595109709508285,0.0446506891853252,-2.63874842978662,FALSE
"TNFRSF18",-0.27881174031283,2.80492606672063,-2.56549770131648,0.0107158530797491,0.0651969671941367,-3.00273107600957,FALSE
"TNFRSF4",-0.131932765315173,3.11442762474915,-1.58808408096072,0.113164066096734,0.275296688082591,-4.97556743051508,FALSE
"SDF4",0.0136074577616342,7.26189478367398,0.442950777169428,0.658073107164438,0.79561822019333,-6.2894293714647,FALSE
"B3GALT6",-0.0780238902110768,4.23679459101171,-1.85829738238068,0.0639604313148159,0.193364671369024,-4.69833860348198,FALSE
"UBE2J2",0.0572411975350441,5.98591987865386,1.68461810649169,0.0929476072836376,0.244789633881741,-5.08612431635134,FALSE
"SCNN1D",-0.241035941867718,2.44812744294816,-3.24693458103256,0.00127852437060983,0.0168354786036793,-1.12830958603655,FALSE
"ACAP3",-0.149796286507555,6.07937053397053,-3.14574500819425,0.00179760272354811,0.0210610849882087,-1.69203657006695,FALSE
"PUSL1",-0.0367844281132216,3.1819777251189,-0.77475128950506,0.439006130204623,0.631319187416394,-5.9141201615799,FALSE
"INTS11",-0.0507672192689481,6.89290064553273,-1.61805660353119,0.106545021403561,0.265937082646507,-5.14478544375336,FALSE
"AL139287.1",-0.130709015733966,1.76476256854166,-2.72191373476047,0.00681294350035205,0.0487281460005175,-2.51176408013176,FALSE
"CPTP",0.0525158490549723,4.80256560807225,0.93587980392812,0.349975934266851,0.55097676355511,-6.01018940419619,FALSE
"TAS1R3",-0.0234136952333414,1.40155106100128,-0.284241531013888,0.776392225244679,0.869942269262735,-5.84320057626024,FALSE
"DVL1",-0.0966091818655659,5.0850457214996,-2.23087124116325,0.0263184507887157,0.112496866911544,-4.03699097910847,FALSE
"MXRA8",-0.245300280916439,1.82612972025592,-2.63453804037494,0.00879692942860856,0.057833623173756,-2.72537189835219,FALSE
"AURKAIP1",0.071952839554252,5.91584072149512,1.29496643839871,0.196179532577617,0.386985608853334,-5.65230662054739,FALSE
"CCNL2",-0.125205557699738,7.79953837552372,-5.16106495221188,4.11042335113804e-07,9.49757474125013e-05,6.12826189524558,FALSE
"MRPL20-AS1",-0.0658195423334517,4.70124965348734,-2.08721957653264,0.0375863046093939,0.139966896383064,-4.30936053018429,FALSE
"MRPL20",-0.0223841180573758,5.52980772032946,-0.755273206687953,0.450589539286699,0.640411214190531,-6.19405857016549,FALSE
"AL391244.2",-0.147251994667855,2.12755576115601,-2.853882256166,0.00457413933068358,0.037692820616957,-2.20605494180119,FALSE
"ATAD3C",0.023210661871863,-0.145193570101201,0.181052923281424,0.856430114493889,0.918991479481873,-5.6133832851091,FALSE
"ATAD3B",-0.203976608475223,4.5998904309035,-3.82485023180934,0.000154732503608984,0.00465744835863043,0.58573361367135,FALSE
"ATAD3A",-0.0391822031612373,3.35289156317665,-0.77046338799592,0.441541251927391,0.633458827808654,-5.94801831223929,FALSE
"SSU72",0.0455513319014689,7.24201745869158,1.52391439350136,0.128426933935758,0.298526803047805,-5.2575797382138,FALSE
"FNDC10",0.155445401338167,2.38171327475071,2.15097144509076,0.0321578711860766,0.12754517428977,-3.88433920734877,FALSE
"AL691432.4",-0.0960084895183245,0.711941912478212,-1.25581196770332,0.210016089138909,0.404186974621557,-5.05175410600671,FALSE
"AL691432.2",-0.0648227324800445,2.28146764349547,-1.55778501141845,0.120181763765039,0.286604595092223,-4.88748338233748,FALSE
"MIB2",-0.220838481259619,6.419700563033,-3.28321116893262,0.00112911170972816,0.0157211474806977,-1.2619000722059,FALSE
"CDK11B",-0.000176631298377895,5.4952835068932,-0.00461232766059325,0.996322517749285,0.998372936344012,-6.4723249937274,FALSE
"SLC35E2B",-0.0377201383395967,6.74362630008203,-0.758459526047304,0.448682860968994,0.63885308018764,-6.14880210400734,FALSE
"AL691432.1",-0.00226565682635751,1.83549938956678,-0.0203609737886848,0.983766938634191,0.991128820883702,-5.95346924637778,FALSE
"MMP23A",-0.118402527368347,-0.203473546289774,-1.10710011225877,0.26900573296659,0.467743924930353,-5.0851893202063,FALSE
"CDK11A",-0.0496719145081211,4.28974682430806,-1.0997867411636,0.272175744238082,0.471460873830368,-5.7919040346675,FALSE
"AL031282.2",-0.0260566270049923,1.82713299027754,-0.320446851026527,0.748819533272267,0.854238380190351,-5.90434296267645,FALSE
"AL031282.1",-0.14474587081783,0.277479814793448,-1.43503744338489,0.152163287743852,0.331237768389148,-4.77755226657675,FALSE
"SLC35E2A",-0.115415118018015,5.29241459862084,-1.68738153321982,0.0924148246392503,0.243813134964588,-5.07850123425452,FALSE
"NADK",0.175246947411584,8.95821043748327,2.36135437371647,0.0187518688077405,0.0917481990380338,-3.56008794949482,FALSE
"GNB1",0.0936036158224724,8.70114482363116,2.27428635091244,0.0235493894585593,0.105146942376405,-3.77256656482645,FALSE
"PRKCZ",0.0202386706353864,3.87612939587898,0.37597193838765,0.707163979406339,0.827603721635351,-6.25745632191688,FALSE
"PRKCZ-AS1",-0.0685853499864836,3.15554199565787,-1.23904051538192,0.21615506348537,0.41117397173392,-5.46099851189531,FALSE
"FAAP20",-0.0635616794537313,5.10353394851139,-1.37351883832591,0.17046422802962,0.355868259146326,-5.53628608115007,FALSE
"SKI",-0.0286256040025865,6.68632183383734,-0.567029717138193,0.571054972925301,0.736004023804378,-6.27660260126858,FALSE
"AL590822.3",-0.273100767256585,-0.225052241715506,-2.59150461997452,0.00995300244291743,0.062248566468643,-2.71555265105863,FALSE
"MORN1",-0.0747949939292654,1.62531781243069,-1.40683515912078,0.160357520478902,0.342942610971221,-4.99439670865909,FALSE
"AL513477.1",-0.075058580566992,0.949848782596548,-1.03861818552171,0.299694411272729,0.501358223385209,-5.31602822420478,FALSE
"RER1",0.023599101671005,7.10551076565565,1.17424452498744,0.241089974513252,0.438968679005894,-5.72661420827877,FALSE
"PEX10",0.0138962358223844,2.5172552896,0.295330603367141,0.767915259298867,0.865525402893024,-6.03946395564106,FALSE
"PLCH2",-0.438854311587326,4.47864377821836,-5.22443680980604,2.99598696769595e-07,7.574982777892e-05,6.41763339501111,FALSE
"PANK4",-0.0185415323197176,5.47797314364562,-0.54549800359886,0.585756143985122,0.74662711454217,-6.32645571171363,FALSE
"AL139246.5",-0.165821213790979,2.26495476663495,-2.13729534643242,0.033261833866941,0.130177224507614,-3.87703666234397,FALSE
"TNFRSF14-AS1",-0.0573854983950214,3.65965062989638,-1.02210865956835,0.307430584456216,0.509154994565092,-5.78117454647228,FALSE
"TNFRSF14",0.0339312973689322,8.29118242862874,0.861259294538158,0.389680849741272,0.587537929641782,-5.93238194598898,FALSE
"AL139246.2",-0.115651379503255,-0.197952861792283,-1.12168896929036,0.262758400766318,0.461583756864006,-5.06978482528762,FALSE
"AL139246.3",-0.174219515284715,0.366469946009579,-2.15865702223187,0.0315514267858835,0.126259093652478,-3.63461039297887,FALSE
"PRXL2B",-0.107439914183813,4.58833060593092,-2.49914938098876,0.012903571255534,0.07295717969104,-3.38887140943014,FALSE
"TTC34",-0.205420496961073,0.914656659744226,-2.51120123813535,0.0124788893745914,0.0714837417288448,-2.94472060737731,FALSE
