"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted","change"
"GBP6",1.81877266661751,7.71975498624995e-26,1.40695375313161,5.02034937410386e-10,TRUE,TRUE,"Stable significant"
"FCGR1CP",1.84949336137253,1.692790236977e-25,1.31490248539002,2.26234656095662e-08,TRUE,TRUE,"Stable significant"
"GBP5",1.18890686789667,1.17290758739385e-22,0.93123377935561,3.07781850422906e-08,TRUE,FALSE,"Lost"
"H2BP2",1.76388527692984,2.69146717152055e-22,1.22792082083863,1.80450349528721e-06,TRUE,TRUE,"Stable significant"
"ANKRD22",1.81177561753519,3.09966572004912e-22,1.28214353099323,1.76497780602725e-07,TRUE,TRUE,"Stable significant"
"PDCD1LG2",1.54106420549046,3.51639704286156e-20,0.927962334492611,3.73387475332875e-05,TRUE,FALSE,"Lost"
"CD274",1.28390183847581,1.68446209104137e-19,0.896805475650448,1.11462021093378e-06,TRUE,FALSE,"Lost"
"FCGR1B",1.19308218597994,1.78082669935998e-19,0.993624516865703,5.97904799148924e-08,TRUE,FALSE,"Lost"
"GBP1",1.07606880780374,2.66728611654503e-19,0.871805278694312,2.67298795780248e-07,TRUE,FALSE,"Lost"
"SCARF1",0.899657634390327,2.66728611654503e-19,0.770328941444416,7.07795805153672e-08,FALSE,FALSE,"Not significant"
"FCGR1A",1.3570102806789,5.68636010151954e-19,0.996143797316986,3.741988923429e-06,TRUE,FALSE,"Lost"
"LINC02555",1.13391724814683,6.73035932110388e-19,0.931435805419819,7.28506941664938e-08,TRUE,FALSE,"Lost"
"DUSP3",0.560528142970029,1.95357113608132e-18,0.440985908773568,2.03367486624345e-06,FALSE,FALSE,"Not significant"
"LHFPL2",0.780899036886489,1.95357113608132e-18,0.607955980961182,3.80932730237456e-07,FALSE,FALSE,"Not significant"
"GBP1P1",1.3065608844806,2.35383474504156e-18,0.809084160543023,5.95043462946987e-05,TRUE,FALSE,"Lost"
"BATF2",1.55333593853075,3.71728007111161e-18,1.306918219364,8.53446462855293e-08,TRUE,TRUE,"Stable significant"
"GBP2",0.607652462695419,9.04893911522198e-18,0.547749583900567,1.76497780602725e-07,FALSE,FALSE,"Not significant"
