"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted"
"GBP6",1.81877266661751,7.71975498624995e-26,1.70014580752623,5.22390350704461e-20,TRUE,TRUE
"FCGR1CP",1.84949336137253,1.692790236977e-25,1.76425867802059,5.22390350704461e-20,TRUE,TRUE
"GBP5",1.18890686789667,1.17290758739385e-22,1.11201167681079,8.92804887224449e-17,TRUE,TRUE
"H2BP2",1.76388527692984,2.69146717152055e-22,1.65796484593546,3.56765716741772e-17,TRUE,TRUE
"ANKRD22",1.81177561753519,3.09966572004912e-22,1.67124220645307,2.1591701769142e-16,TRUE,TRUE
"PDCD1LG2",1.54106420549046,3.51639704286156e-20,1.36621057644257,8.05396285206007e-14,TRUE,TRUE
"CD274",1.28390183847581,1.68446209104137e-19,1.12568640349174,1.05071926645003e-13,TRUE,TRUE
"FCGR1B",1.19308218597994,1.78082669935998e-19,1.11205547676184,2.89447586085385e-15,TRUE,TRUE
"GBP1",1.07606880780374,2.66728611654503e-19,0.963612904977223,1.44144505115689e-13,TRUE,FALSE
"SCARF1",0.899657634390327,2.66728611654503e-19,0.84561458913462,2.97519506626456e-14,FALSE,FALSE
"FCGR1A",1.3570102806789,5.68636010151954e-19,1.31786868155105,1.81109407992923e-15,TRUE,TRUE
"LINC02555",1.13391724814683,6.73035932110388e-19,1.0649986476321,3.51108200789146e-15,TRUE,TRUE
"DUSP3",0.560528142970029,1.95357113608132e-18,0.513444322928167,2.12691636217133e-13,FALSE,FALSE
"LHFPL2",0.780899036886489,1.95357113608132e-18,0.703845213674959,2.91523304540407e-13,FALSE,FALSE
"GBP1P1",1.3065608844806,2.35383474504156e-18,1.22189980654158,1.1055367296311e-13,TRUE,TRUE
"BATF2",1.55333593853075,3.71728007111161e-18,1.45501504258227,8.05396285206007e-14,TRUE,TRUE
"GBP2",0.607652462695419,9.04893911522198e-18,0.567351704363589,2.08842273506195e-13,FALSE,FALSE
"SORT1",0.606995411394912,2.40838485357868e-17,0.56805591566553,3.92980727872671e-13,FALSE,FALSE
"SECTM1",0.787204908992578,7.84057230637001e-17,0.748637254701398,4.44489715154952e-13,FALSE,FALSE
"AC243772.2",1.1288624984585,8.44784876709873e-17,0.987925442566352,6.27380417501349e-12,TRUE,FALSE
"TAP1",0.532656240038975,9.19790622759726e-17,0.483839967874352,3.05317190920438e-12,FALSE,FALSE
"APOL4",1.5823392095166,1.14933452327594e-16,1.59604926288822,2.34398984150645e-14,TRUE,TRUE
"PSTPIP2",0.709002643549283,1.14933452327594e-16,0.649971863693753,4.04180613625397e-12,FALSE,FALSE
"RAP1GAP",1.93436467765624,2.20123022654127e-16,1.11094790236196,2.58811006908936e-05,TRUE,TRUE
"APOL6",0.633220177371882,2.59781159093295e-16,0.56177878111097,1.72567677827599e-11,FALSE,FALSE
"ZNF767P",-0.212976700683982,3.99355495214584e-16,-0.198984281537515,2.70123240800407e-12,FALSE,FALSE
"SERPING1",1.58495666725343,8.28968176417288e-16,1.5639937187504,2.08842273506195e-13,TRUE,TRUE
"STAT1",0.627284498605381,1.49716006968212e-15,0.544618438750243,2.65133841160607e-10,FALSE,FALSE
"AC244453.2",1.12441270135686,1.58020270427905e-15,0.981092073161886,8.20923727173399e-11,TRUE,FALSE
"APOL1",0.641402133404473,1.89707590520505e-15,0.598625773109915,1.22715915768683e-11,FALSE,FALSE
"LACTB",0.416912230076273,3.06831215126716e-15,0.400728515341768,3.96837994812219e-12,FALSE,FALSE
"TIFA",0.588469855330625,3.76306073118324e-15,0.502263009713523,5.38791480361829e-10,FALSE,FALSE
"ETV7",1.41408265730747,3.76868121428303e-15,1.32587700663132,2.2476528866521e-11,TRUE,TRUE
"FLVCR2",0.609827278625771,6.14399109841996e-15,0.540566068041024,5.08697086722375e-10,FALSE,FALSE
"IL15RA",0.441517931762638,6.36559856908427e-15,0.451057355595046,2.99977493375453e-13,FALSE,FALSE
"SEPTIN4",1.59172543368046,6.36559856908427e-15,1.51804664626958,4.97327828495516e-12,TRUE,TRUE
"GBP4",0.663857143030216,7.15207852796055e-15,0.605380578869335,1.67570446013698e-10,FALSE,FALSE
"FZD5",0.698225371361704,8.59881095896851e-15,0.63141613307262,1.85060159075706e-10,FALSE,FALSE
"CTSA",0.405591593617415,2.88214838222601e-14,0.405722220412541,8.7657703646421e-12,FALSE,FALSE
"AL672207.1",0.677784048604327,4.26972215273449e-14,0.598801852318081,1.64707455590843e-09,FALSE,FALSE
"TRIM69",0.366071564234053,6.69928714109128e-14,0.330966146855116,1.00625837418612e-09,FALSE,FALSE
"ERLIN1",0.339372235833644,9.98439576279177e-14,0.342946169975183,6.27380417501349e-12,FALSE,FALSE
"C2",0.992887245245006,1.04657039693895e-13,0.971766717656542,6.24259878071036e-11,FALSE,FALSE
"RAB20",0.674438127666671,1.22112285609527e-13,0.683085560839526,1.46617411482721e-11,FALSE,FALSE
"DCUN1D3",0.267999359753385,1.2903088296088e-13,0.257498315596727,1.10510139908034e-10,FALSE,FALSE
"AL157871.2",0.775493395013923,1.44535014161727e-13,0.691497212612789,5.08697086722375e-10,FALSE,FALSE
"P2RY14",0.889202789610088,1.61186646534438e-13,0.739037438972805,2.99641459536344e-08,FALSE,FALSE
"CYBB",0.409226442810822,1.83727900193574e-13,0.37331643971099,1.83105470328215e-09,FALSE,FALSE
"FAM20A",0.973553347733173,3.10448307942151e-13,0.773720774046745,1.92781571230103e-07,FALSE,FALSE
"AC083862.2",0.554899833051111,3.27941334739819e-13,0.49001295811553,5.87774522650142e-09,FALSE,FALSE
"CD177",2.33661954921265,3.77885172533795e-13,2.09651681568607,2.17242372889e-07,TRUE,TRUE
"CETP",0.551790068031305,3.79270474116539e-13,0.505673049531575,9.24510738907283e-10,FALSE,FALSE
"WSB2",0.297618528646702,4.19941612680524e-13,0.251613269747736,2.17402797136258e-08,FALSE,FALSE
"NRN1",1.28553530626991,4.99813047164088e-13,1.3386980412755,2.91391301386689e-12,TRUE,TRUE
"NUCB1",0.386642265433842,7.65927582994332e-13,0.389221385574007,8.15741996968266e-11,FALSE,FALSE
"ASPHD2",0.417770907949607,8.82759971568733e-13,0.411022400612466,2.82933340897034e-10,FALSE,FALSE
"ETV6",0.326706284344441,9.06419701722844e-13,0.291698318778135,5.82577181355208e-09,FALSE,FALSE
