"gene","logFC","logCPM","F","PValue","FDR"
"SEPTIN4",1.58799303125297,2.70763035426677,144.972084969205,6.15269869851016e-29,9.23027858750495e-25
"ANKRD22",1.7585651327836,3.26541013739011,128.713336949323,3.01996025140469e-26,2.26527218457866e-22
"C1QC",1.70721697027868,1.85684730977731,125.155902668417,1.20630730508709e-25,6.03234073030551e-22
"C1QB",1.56034060245224,3.64910588688367,120.995870284794,6.10842791636517e-25,2.29096589003276e-21
"BATF2",1.56887879656337,4.96870464996509,119.559203566738,1.0739671044575e-24,3.22233090021428e-21
"SERPING1",1.65360900416591,6.60541970177166,113.233204692863,1.31483541637593e-23,3.28752681941195e-20
"C1QA",1.2812930668952,4.16880044805458,111.675788068275,2.44799730857719e-23,5.24640794618215e-20
"APOL4",1.49631090629951,1.1787780176625,110.051147972298,4.72841739438343e-23,7.97373703808683e-20
"C2",1.18819244862438,2.01672965164599,110.006257107579,4.78360440893091e-23,7.97373703808683e-20
"FAM20A",1.24132265485018,1.51721254898594,109.657103917024,5.51570977842766e-23,8.27466780959718e-20
"LAP3",0.920425060008035,6.40350172202327,108.105578024767,1.02438625168083e-22,1.3970765952469e-19
"GBP6",1.34350795766622,0.301412645373213,102.837081517459,8.90639225319973e-22,1.11344747152085e-18
"VAMP5",0.803255503828601,5.30577001346315,99.2889201494452,3.6696311820512e-21,3.95684610760438e-18
"CD274",1.17700773434182,4.53863685205902,99.2738058414909,3.69256402522739e-21,3.95684610760438e-18
"FCGR1CP",1.45115892260047,2.10710614611392,98.156357772326,5.84774793283699e-21,5.84852763256137e-18
"KLHDC7B-DT",0.868422584447651,0.816944970372754,96.6705619074394,1.08396993444115e-20,1.01635730978038e-17
"FCGR1A",1.33973255684407,4.89724090745884,96.3038426112509,1.2503500631798e-20,1.10339715575431e-17
"APOL1",0.731491306509108,6.27356329774433,95.9062836491449,1.47290038318802e-20,1.22758064158815e-17
"LHFPL2",0.709708367903171,4.08718059883162,94.4641897465115,2.67154012286438e-20,2.10939183806376e-17
"LINC02471",1.14594274412643,0.051280058520421,90.3842195571319,1.49190981457885e-19,1.1190815519156e-16
"GBP1P1",1.03904154827375,2.34495245439321,88.1633386759659,3.67947998672824e-19,2.62855041718558e-16
"LINC02555",1.13889536449575,1.82773057842106,86.408943997218,7.68931331957801e-19,5.24341265546861e-16
"ATF3",1.08353907084984,2.1901537144104,85.8669206716047,9.65022536299465e-19,6.2944643867672e-16
"APOL6",0.644928157731535,7.10905989695428,85.6064749595313,1.07575008343928e-18,6.72433447989837e-16
"DUSP3",0.448867195448172,5.70580780539092,83.6892013087964,2.41547121390021e-18,1.35759641068187e-15
"FLVCR2",0.567411250132699,3.57838067246354,83.6813816557612,2.42383901577254e-18,1.35759641068187e-15
"GBP5",0.942875672588094,8.49761071266805,83.6620546248011,2.44334775952609e-18,1.35759641068187e-15
"TIMM10",0.687927882981783,3.81407659433707,82.9092226424974,3.36017856873346e-18,1.77296116932042e-15
"IL27",0.885171224931353,1.21235790668937,82.8695441372054,3.42726795829171e-18,1.77296116932042e-15
"PDCD1LG2",1.21538332729326,1.16416224241395,82.5012479037868,4.01157595885934e-18,2.00605541782693e-15
"ASPHD2",0.41256859885278,3.77553977386052,82.0010710764621,4.93760338871009e-18,2.38948148507835e-15
"GBP1",0.930604831403628,7.18549714240965,81.3007404365987,6.64668777489664e-18,3.11605031246873e-15
"SMTNL1",1.29342299267849,2.20029776628062,80.5000644949303,9.35205714725465e-18,4.25150185827619e-15
"FCGR1BP",1.01373690278066,3.96142143289392,79.7724374716123,1.27379199691171e-17,5.62041986402042e-15
"FBXO6",0.635302877672233,5.1235823353801,79.203047063189,1.62378682554502e-17,6.96001427337896e-15
"TMEM150B",0.571040928217349,3.65318929826777,78.3600459102119,2.32787565521082e-17,9.70077516096465e-15
"GBP2",0.555595669586127,8.86282171484788,76.2727008683007,5.69300695744439e-17,2.30828352366434e-14
