"gene","logFC","logCPM","F","PValue","FDR","sig"
"SEPTIN4",1.6253638380819,2.70823550085335,148.996251448942,1.25585483373883e-29,1.88403342157499e-25,TRUE
"ANKRD22",1.82042957098079,3.26578190752474,137.949640897109,8.11878242907906e-28,6.08989870005221e-24,TRUE
"C1QC",1.72117778661297,1.85764547263678,118.761958904195,1.3934684914426e-24,6.96827143620731e-21,TRUE
"BATF2",1.55805766544991,4.9688497503011,116.931454175145,2.86533938140224e-24,1.07464553499491e-20,TRUE
"LAP3",0.948316347916503,6.40352212557048,113.856410894994,9.72891640083548e-24,2.91906407690668e-20,FALSE
"SERPING1",1.65795443280729,6.60547647075384,110.498616787401,3.72695910338197e-23,9.31864007815606e-20,TRUE
"C1QB",1.55421571398592,3.64935498112069,109.718936566519,5.09877171973018e-23,1.09273961913417e-19,TRUE
"APOL4",1.50908025912955,1.17949930483586,108.867913612466,7.22784689279748e-23,1.35540198857185e-19,TRUE
"C2",1.17682887755893,2.01738242604982,106.736450418145,1.69869258421767e-22,2.8315317942704e-19,TRUE
"CD274",1.20371721048075,4.53875520944251,102.852673506805,8.19956968422017e-22,1.23009944402671e-18,TRUE
"FAM20A",1.2318910194294,1.51796322113863,101.371756978736,1.50489558663484e-21,2.05240396279053e-18,TRUE
"GBP6",1.39080524033317,0.302533688619541,100.245417741796,2.42874715842151e-21,3.03633873921996e-18,TRUE
"LINC02555",1.22086547572149,1.82846741190334,98.0793933431003,5.79349123063043e-21,6.68568888014752e-18,TRUE
"KLHDC7B-DT",0.922511631712559,0.817855850316187,97.8929964807902,6.28906957332391e-21,6.7391872670718e-18,FALSE
"C1QA",1.2727896710204,4.16895872704864,97.6946727313763,6.77429745614057e-21,6.77520069580139e-18,TRUE
"FCGR1A",1.32629993308844,4.89738874462485,96.8845702672635,9.45641794765155e-21,8.86657387816679e-18,TRUE
"GBP1P1",1.09480795313395,2.34529056503649,95.7666651254649,1.50112153117064e-20,1.32469560062482e-17,TRUE
"GBP5",0.997494537781206,8.49761475415089,94.0619850496244,3.03654560475027e-20,2.40170336294752e-17,FALSE
"ATF3",1.13604409293096,2.1907226520134,94.0603110583482,3.04175202613005e-20,2.40170336294752e-17,TRUE
"LHFPL2",0.712478462748209,4.08728708645275,93.7063022899654,3.5192329823822e-20,2.63977666008489e-17,FALSE
"FCGR1CP",1.41420012183366,2.10797556947924,92.9632898197982,4.79674798003357e-20,3.42670539030779e-17,TRUE
"APOL1",0.74162138008796,6.27359551187875,92.197922906553,6.58513238062127e-20,4.49046163518547e-17,FALSE
"TIMM10",0.728959248290739,3.81423389681229,90.8985967614525,1.13159057925502e-19,7.38092255216685e-17,FALSE
"APOL6",0.67068205427486,7.1090673786113,89.9861533081387,1.65618736728019e-19,1.03525512016406e-16,FALSE
"LINC02471",1.15827118184622,0.0543551857993427,89.8479933008965,1.79520351240621e-19,1.07726572372472e-16,TRUE
"VAMP5",0.806091200715977,5.30584217008256,89.5352087060788,1.99984821780523e-19,1.15391242167362e-16,FALSE
"GBP1",0.977727765033741,7.18550738307215,87.9786543615613,3.83910165878285e-19,2.13311863278001e-16,FALSE
"EGR1",1.75477287300958,3.19546426824141,84.3452109611904,1.77441661854396e-18,9.50707075407019e-16,TRUE
"PDCD1LG2",1.22635882485642,1.16507502995746,82.7382962496908,3.51651874446659e-18,1.81913152429268e-15,TRUE
"DUSP3",0.441178084122806,5.7058274246454,81.4634061964514,6.02118856045395e-18,3.01099569279767e-15,FALSE
"ASPHD2",0.407101892754226,3.77560947306488,80.6856124695722,8.38517785845895e-18,3.98971832616794e-15,FALSE
"IL27",0.875535713964685,1.21369871488607,80.6574172853757,8.51026439390575e-18,3.98971832616794e-15,FALSE
"CFAP58-DT",0.935257800513322,1.07950966179586,79.1469841076543,1.62232973432774e-17,7.37520929526811e-15,FALSE
